Frequency (Hz)	Level (dB)
0.672913	-54.943840
1.345825	-55.069004
2.018738	-54.111626
2.691650	-54.285172
3.364563	-53.838776
4.037476	-52.708557
4.710388	-53.129227
5.383301	-53.061623
6.056213	-52.158108
6.729126	-51.380527
7.402039	-50.725979
8.074951	-49.516613
8.747864	-50.030434
9.420776	-50.364182
10.093689	-49.212837
10.766602	-49.402225
11.439514	-49.682152
12.112427	-48.196854
12.785339	-48.263668
13.458252	-48.574615
14.131165	-47.897408
14.804077	-47.869324
15.476990	-48.351818
16.149902	-47.974194
16.822815	-47.294365
17.495728	-47.108784
18.168640	-46.234291
18.841553	-46.059349
19.514465	-46.148216
20.187378	-45.475174
20.860291	-45.090088
21.533203	-45.085552
22.206116	-44.213547
22.879028	-44.086044
23.551941	-45.074482
24.224854	-44.560318
24.897766	-44.089314
25.570679	-44.834560
26.243591	-43.871441
26.916504	-43.329456
27.589417	-45.087910
28.262329	-44.309254
28.935242	-43.546650
29.608154	-44.950783
30.281067	-44.135147
30.953979	-43.389248
31.626892	-45.317646
32.299805	-45.070580
32.972717	-44.141872
33.645630	-45.145355
34.318542	-44.898380
34.991455	-44.376930
35.664368	-45.827961
36.337280	-45.850300
37.010193	-45.103184
37.683105	-45.349777
38.356018	-45.064873
39.028931	-43.732559
39.701843	-42.651562
40.374756	-40.937363
41.047668	-39.183620
41.720581	-38.268089
42.393494	-36.836533
43.066406	-35.897488
43.739319	-35.173828
44.412231	-34.888058
45.085144	-34.044815
45.758057	-33.312698
46.430969	-32.778748
47.103882	-33.283985
47.776794	-33.529747
48.449707	-33.244446
49.122620	-32.220108
49.795532	-32.816868
50.468445	-33.930447
51.141357	-34.618938
51.814270	-34.465820
52.487183	-34.120361
53.160095	-34.988731
53.833008	-35.547897
54.505920	-35.441399
55.178833	-34.951561
55.851746	-36.159824
56.524658	-37.349232
57.197571	-37.399239
57.870483	-36.903797
58.543396	-36.351311
59.216309	-36.887749
59.889221	-36.334949
60.562134	-32.550106
61.235046	-29.226574
61.907959	-28.534971
62.580872	-30.396069
63.253784	-34.059872
63.926697	-37.726379
64.599609	-37.893608
65.272522	-38.020580
65.945435	-38.778927
66.618347	-38.883095
67.291260	-37.692204
67.964172	-37.390392
68.637085	-37.924660
69.309998	-37.440948
69.982910	-35.672421
70.655823	-33.830692
71.328735	-30.703129
72.001648	-27.839386
72.674561	-23.523329
73.347473	-21.147018
74.020386	-23.014532
74.693298	-28.037851
75.366211	-32.289703
76.039124	-34.915737
76.712036	-36.249676
77.384949	-37.728619
78.057861	-37.966824
78.730774	-36.257206
79.403687	-33.357986
80.076599	-31.699377
80.749512	-29.553059
81.422424	-24.800575
82.095337	-20.685915
82.768250	-21.373198
83.441162	-25.998362
84.114075	-30.599928
84.786987	-34.572712
85.459900	-36.365681
86.132813	-37.721844
86.805725	-39.079693
87.478638	-39.317249
88.151550	-39.708309
88.824463	-40.153999
89.497375	-39.582039
90.170288	-39.511208
90.843201	-37.527897
91.516113	-33.314583
92.189026	-31.147532
92.861938	-31.571609
93.534851	-34.641670
94.207764	-39.782475
94.880676	-42.746674
95.553589	-43.043522
96.226501	-42.645103
96.899414	-42.520355
97.572327	-43.091286
98.245239	-42.423058
98.918152	-42.593761
99.591064	-44.362648
100.263977	-43.285099
100.936890	-42.700172
101.609802	-42.338577
102.282715	-40.308033
102.955627	-40.097565
103.628540	-41.777954
104.301453	-43.022251
104.974365	-43.106121
105.647278	-40.775475
